Algorithm,Iteration,Residual,PSNR,SSIM
,111,1.119,22.647,0.425
,112,1.116,22.623,0.424
,113,1.113,22.605,0.423
,114,1.111,22.582,0.422
,115,1.108,22.564,0.421
,116,1.105,22.542,0.42
,117,1.102,22.524,0.42
,118,1.1,22.502,0.419
,119,1.097,22.485,0.418
,120,1.095,22.463,0.417
,121,1.092,22.446,0.416
,122,1.089,22.424,0.415
,123,1.087,22.408,0.415
,124,1.084,22.387,0.414
,125,1.082,22.371,0.413
,126,1.08,22.35,0.413
,127,1.077,22.334,0.412
,128,1.075,22.313,0.411
,129,1.073,22.298,0.411
,130,1.07,22.277,0.41
,131,1.068,22.262,0.409
,132,1.066,22.242,0.408
,133,1.064,22.227,0.408
,134,1.061,22.208,0.407
,135,1.059,22.193,0.406
,136,1.057,22.174,0.406
,137,1.055,22.159,0.405
,138,1.053,22.14,0.404
,139,1.051,22.126,0.404
,140,1.049,22.107,0.403
,141,1.047,22.093,0.403
,142,1.045,22.074,0.402
,143,1.043,22.061,0.401
,144,1.041,22.042,0.401
,145,1.039,22.029,0.4
,146,1.037,22.011,0.399
,147,1.035,21.997,0.399
,148,1.033,21.98,0.398
,149,1.031,21.967,0.398
,150,1.029,21.949,0.397
,151,1.027,21.936,0.397
,152,1.026,21.919,0.396
,153,1.024,21.906,0.396
,154,1.022,21.889,0.395
,155,1.02,21.877,0.394
,156,1.018,21.86,0.394
,157,1.017,21.847,0.393
,158,1.015,21.831,0.393
,159,1.013,21.819,0.392
,160,1.012,21.803,0.392
,161,1.01,21.79,0.391
,162,1.008,21.774,0.391
,163,1.007,21.762,0.39
,164,1.005,21.747,0.39
,165,1.003,21.735,0.389
,166,1.002,21.719,0.389
,167,1,21.708,0.388
,168,0.999,21.692,0.388
,169,0.997,21.681,0.387
,170,0.996,21.665,0.387
,171,0.994,21.654,0.386
,172,0.993,21.639,0.386
,173,0.991,21.628,0.385
,174,0.99,21.613,0.385
,175,0.988,21.602,0.384
,176,0.987,21.587,0.384
,177,0.985,21.576,0.383
,178,0.984,21.562,0.383
,179,0.982,21.551,0.383
,180,0.981,21.537,0.382
,181,0.979,21.526,0.382
,182,0.978,21.512,0.381
,183,0.977,21.501,0.381
,184,0.975,21.488,0.38
,185,0.974,21.477,0.38
,186,0.973,21.463,0.379
,187,0.971,21.453,0.379
,188,0.97,21.439,0.379
,189,0.969,21.429,0.378
,190,0.967,21.416,0.378
,191,0.966,21.406,0.377
,192,0.965,21.392,0.377
,193,0.963,21.382,0.377
,194,0.962,21.369,0.376
,195,0.961,21.359,0.376
,196,0.96,21.346,0.375
,197,0.958,21.336,0.375
,198,0.957,21.324,0.374
,199,0.956,21.314,0.374
,200,0.955,21.301,0.374
Conjugate Gradient Method,1,9.163,20.769,0.725
,2,4.67,22.325,0.756
,3,3.561,23.056,0.762
,4,3.053,23.679,0.756
,5,2.691,24.309,0.732
,6,2.378,24.829,0.69
,7,2.115,25.037,0.64
,8,1.934,25.004,0.602
,9,1.796,24.832,0.569
,10,1.686,24.592,0.54
,11,1.585,24.261,0.513
,12,1.488,23.857,0.486
,13,1.399,23.412,0.462
,14,1.328,23.02,0.443
,15,1.278,22.72,0.43
,16,1.237,22.467,0.419
,17,1.2,22.228,0.41
,18,1.166,21.998,0.401
,19,1.133,21.755,0.391
,20,1.1,21.513,0.383
,21,1.069,21.27,0.374
,22,1.043,21.067,0.367
,23,1.02,20.879,0.36
,24,0.999,20.7,0.355
,25,0.98,20.538,0.349
,26,0.959,20.36,0.343
,27,0.938,20.166,0.337
,28,0.921,20.013,0.332
,29,0.906,19.868,0.328
,30,0.891,19.721,0.323
,31,0.878,19.591,0.319
,32,0.864,19.457,0.315
,33,0.85,19.309,0.311
,34,0.838,19.171,0.307
,35,0.827,19.056,0.303
,36,0.818,18.953,0.3
,37,0.809,18.844,0.297
,38,0.799,18.723,0.294
,39,0.788,18.597,0.29
,40,0.778,18.473,0.286
,41,0.769,18.356,0.283
,42,0.761,18.253,0.28
,43,0.753,18.149,0.277
,44,0.745,18.042,0.274
,45,0.737,17.941,0.271
,46,0.73,17.843,0.269
,47,0.723,17.75,0.266
,48,0.716,17.657,0.264
,49,0.709,17.56,0.261
,50,0.7,17.438,0.258
,51,0.691,17.302,0.254
,52,0.68,17.138,0.25
,53,0.668,16.967,0.245
,54,0.656,16.775,0.24
,55,0.64,16.539,0.234
,56,0.624,16.27,0.228
,57,0.609,16.027,0.221
,58,0.606,15.984,0.22
,59,0.595,15.784,0.215
,60,0.582,15.568,0.21
,61,0.579,15.512,0.209
,62,0.57,15.357,0.205
,63,0.567,15.292,0.203
,64,0.559,15.157,0.2
,65,0.558,15.142,0.2
,66,0.55,14.984,0.196
,67,0.549,14.963,0.196
,68,0.547,14.931,0.195
,69,0.542,14.83,0.192
,70,0.541,14.819,0.192
,71,0.54,14.789,0.191
,72,0.535,14.692,0.189
,73,0.534,14.671,0.189
,74,0.533,14.656,0.188
,75,0.529,14.583,0.186
,76,0.527,14.544,0.186
,77,0.527,14.534,0.185
,78,0.524,14.486,0.184
,79,0.521,14.412,0.183
,80,0.52,14.397,0.182
,81,0.519,14.382,0.182
,82,0.517,14.331,0.181
,83,0.514,14.276,0.179
,84,0.514,14.265,0.179
,85,0.513,14.246,0.179
,86,0.51,14.188,0.177
,87,0.508,14.144,0.176
,88,0.508,14.13,0.176
,89,0.507,14.114,0.175
,90,0.505,14.064,0.174
,91,0.503,14.019,0.173
